name,serving_wt,kcal,carbo,protein,fat,year,company
농어초밥,250.0,396.74,78.75,17.43,1.34,2012, 
농어초밥(강원도),250.0,397.5,79.5,18.61,0.58,2012, 
농어초밥(경기도),250.0,392.5,77.07,16.66,1.95,2012, 
농어초밥(경상도),250.0,392.5,80.29,15.51,1.04,2012, 
농어초밥(서울),250.0,372.5,63.16,23.39,3.04,2012, 
농어초밥(전라도),250.0,420.0,88.58,15.86,0.36,2012, 
농어초밥(충청도),250.0,402.5,83.88,14.56,1.06,2012, 
문어초밥,250.0,392.23,81.78,14.61,0.74,2012, 
문어초밥(강원도),250.0,375.0,78.43,13.62,0.86,2012, 
문어초밥(경기도),250.0,375.0,77.58,14.14,0.95,2012, 
문어초밥(경상도),250.0,380.0,79.71,14.61,0.4,2012, 
문어초밥(서울),250.0,362.5,70.12,18.51,0.92,2012, 
문어초밥(전라도),250.0,440.0,94.63,13.48,0.94,2012, 
문어초밥(충청도),250.0,417.5,90.21,13.33,0.37,2012, 
연어초밥,250.0,447.32,71.04,18.88,9.74,2012, 
연어초밥(강원도),250.0,427.5,71.19,17.84,7.94,2012, 
연어초밥(경기도),250.0,432.5,70.63,18.65,8.37,2012, 
연어초밥(경상도),250.0,447.5,72.42,17.7,9.72,2012, 
연어초밥(서울),250.0,487.5,54.48,23.6,19.5,2012, 
연어초밥(전라도),250.0,442.5,82.91,17.59,4.6,2012, 
연어초밥(충청도),250.0,445.0,74.61,17.93,8.31,2012, 
새우초밥,250.0,387.67,78.42,16.8,0.75,2012, 
새우초밥(강원도),250.0,382.5,77.51,17.22,0.41,2012, 
새우초밥(경기도),250.0,390.0,78.15,16.36,1.3,2012, 
새우초밥(경상도),250.0,405.0,85.46,14.89,0.28,2012, 
새우초밥(서울),250.0,372.5,72.77,19.27,0.46,2012, 
새우초밥(전라도),250.0,400.0,81.17,16.4,1.2,2012, 
새우초밥(충청도),250.0,377.5,75.47,16.69,0.87,2012, 
장어초밥,250.0,486.26,80.68,16.52,10.83,2012, 
장어초밥(강원도),250.0,482.5,80.04,18.98,9.6,2012, 
장어초밥(경기도),250.0,470.0,83.62,15.38,8.29,2012, 
장어초밥(경상도),250.0,492.5,84.67,13.94,11.03,2012, 
장어초밥(서울),250.0,520.0,71.74,21.63,16.35,2012, 
장어초밥(전라도),250.0,467.5,82.29,14.07,9.18,2012, 
장어초밥(충청도),250.0,482.5,81.72,15.12,10.53,2012, 
한치초밥,250.0,374.18,77.92,13.71,0.85,2012, 
한치초밥(강원도),250.0,362.5,76.88,13.21,0.28,2012, 
한치초밥(경기도),250.0,382.5,81.34,12.46,0.71,2012, 
한치초밥(경상도),250.0,372.5,77.4,13.5,1.04,2012, 
한치초밥(서울),250.0,342.5,65.97,18.23,0.65,2012, 
한치초밥(전라도),250.0,397.5,85.15,12.33,0.97,2012, 
한치초밥(충청도),250.0,387.5,80.8,12.55,1.44,2012, 
유부초밥,250.0,446.33,82.31,12.46,7.47,2009, 
유부초밥(강원도),250.0,470.0,76.53,10.18,13.71,2009, 
유부초밥(경기도),250.0,445.0,80.76,12.24,8.1,2009, 
유부초밥(경상도),250.0,430.0,82.73,12.16,5.62,2009, 
유부초밥(서울),250.0,460.0,81.23,15.2,8.25,2009, 
유부초밥(전라도),250.0,437.5,89.77,12.91,2.99,2009, 
유부초밥(충청도),250.0,435.0,82.83,12.05,6.2,2009, 
잡채밥,650.0,884.66,159.47,19.49,18.76,2009, 
잡채밥(강원도),650.0,962.0,173.39,18.33,21.59,2009, 
잡채밥(경기도),650.0,858.0,151.11,17.31,20.14,2009, 
잡채밥(경상도),650.0,825.5,163.65,17.18,11.23,2009, 
잡채밥(서울),650.0,858.0,160.57,19.55,15.07,2009, 
잡채밥(전라도),650.0,923.0,153.43,23.78,23.84,2009, 
잡채밥(충청도),650.0,890.5,154.65,20.79,20.68,2009, 
잡탕밥,750.0,777.44,104.94,44.12,20.13,2010, 
잡탕밥(강원도),750.0,795.0,95.69,45.53,25.17,2010, 
잡탕밥(경기도),750.0,787.5,116.63,38.39,18.2,2010, 
잡탕밥(경상도),750.0,727.5,108.31,44.77,12.85,2010, 
잡탕밥(서울),750.0,817.5,82.67,44.8,34.28,2010, 
잡탕밥(전라도),750.0,772.5,106.93,44.86,18.14,2010, 
잡탕밥(충청도),750.0,772.5,119.41,46.37,12.19,2010, 
자장밥,500.0,741.66,120.06,15.24,22.28,2009, 
자장밥(강원도),500.0,710.0,135.81,15.47,11.48,2009, 
자장밥(경기도),500.0,725.0,135.13,11.86,15.43,2009, 
자장밥(경상도),500.0,740.0,114.24,14.38,25.32,2009, 
자장밥(서울),500.0,770.0,107.8,23.15,27.33,2009, 
자장밥(전라도),500.0,760.0,109.89,16.77,28.26,2009, 
자장밥(충청도),500.0,740.0,117.49,9.8,25.85,2009, 
카레라이스,500.0,672.0,126.01,13.49,12.67,2009, 
카레라이스(강원도),500.0,765.0,130.47,13.31,21.23,2009, 
카레라이스(경기도),500.0,625.0,129,14.42,5.66,2009, 
카레라이스(경상도),500.0,635.0,134.58,13.13,4.89,2009, 
카레라이스(서울),500.0,705.0,105.58,14.52,24.72,2009, 
카레라이스(전라도),500.0,625.0,136.82,12.91,2.66,2009, 
카레라이스(충청도),500.0,680.0,119.63,12.68,16.86,2009, 
알밥,400.0,618.5,116.78,14.59,10.34,2010, 
알밥(강원도),400.0,556.0,105.94,14.36,8.23,2010, 
알밥(경기도),400.0,660.0,116.46,10.87,16.88,2010, 
알밥(경상도),400.0,652.0,123.42,15.98,10.65,2010, 
알밥(서울),400.0,636.0,124.11,14.91,8.8,2010, 
알밥(전라도),400.0,620.0,115.51,17.46,9.59,2010, 
알밥(충청도),400.0,588.0,115.22,13.96,7.87,2010, 
멸치주먹밥,150.0,312.43,54.33,9.04,6.55,2013, 
짬뽕밥,900.0,661.76,110.85,29.06,11.35,2012, 
짬뽕밥(강원도),900.0,648.0,119.28,23.92,8.51,2012, 
짬뽕밥(경기도),900.0,612.0,109.58,26.85,7.8,2012, 
짬뽕밥(경상도),900.0,648.0,97.18,31.1,14.71,2012, 
짬뽕밥(서울),900.0,684.0,110.17,28.73,14,2012, 
짬뽕밥(전라도),900.0,675.0,101.43,34.56,14.98,2012, 
짬뽕밥(충청도),900.0,702.0,127.46,29.16,8.09,2012, 
