name,serving_wt,kcal,carbo,protein,fat,company
커스터드푸딩,100,126,14.7,5.5,5, 
피자,150,403.5,45.15,18.15,17.85, 
"디럭스피자,냉동",150,346.5,29.85,15,18.6, 
"스페셜디럭스피자,냉동",150,391.5,37.2,13.95,20.7, 
"페퍼로니피자,냉동",150,444,42.75,16.8,22.8, 
페페로니피자,150,444,42.75,16.8,22.8, 
"버섯피자,냉동",150,348,35.4,16.35,15.6, 
"슈프림피자,냉동",100,253,23.4,10,13.3, 
"슈프림피자,냉동",100,233,30.4,11.3,7.3, 
"슈퍼슈프림피자,냉동",100,233,30.4,11.3,7.3, 
"슈퍼슈프림피자,냉동",100,233,30.4,11.3,7.3, 
"콤비네이션피자,냉동",150,372,39.15,12.75,18.3, 
핫도그,100,247,18.4,10.6,14.8, 
"핫도그,냉동",100,284,40.2,7.6,10.3, 
"핫도그,냉동",100,267,34.97,8.09,10.55, 
햄버거,100,271,35.76,11.94,8.94, 
햄버거,100,235,25.4,11.3,9.8, 
치즈버거,150,454.5,44.85,22.65,20.85, 
"보리,겉보리, 보리쌀",100,322,71.1,10.6,1.8, 
"보리,겉보리, 보리쌀",100,316,74.39,9.3,1.81, 
보리압맥,100,348,78.6,9.1,0.6, 
보리압맥,100,316,75.38,8.74,1.66, 
보리할맥,100,351,77.4,9.8,1.2, 
보리할맥,100,327,77.71,9.3,1.67, 
볶은보리,100,360,74.1,12.7,2.6, 
볶은보리,100,335,74.1,12.7,2.6, 
보리가루,100,357,76,11.2,2, 
보리가루,100,338,76.09,10.95,2.99, 
보리밥,210,294,67.41,6.09,0.63, 
미숫가루,100,398,74.6,15.7,5.7, 
미숫가루,100,374,76.17,14.52,5.48, 
찹쌀미숫가루,100,401,83.6,9,1.7, 
찹쌀미숫가루,100,386,83.6,9,1.7, 
엿기름,100,338,73,11.2,1.2, 
엿기름,100,335,71.68,14.65,2.71, 
"수수,생것",100,364,74.1,9.5,2.6, 
"수수,생것",100,243,71.5,9.85,2.96, 
수수가루,40,152.4,30.92,3.96,1.08, 
시리얼,30,116.1,26.1,1.71,0.54, 
하몬트푸레이크,100,406,79.6,7.2,7.4, 
하몬트푸레이크,100,426,78.18,7.3,9.29, 
현미푸레이크,100,376,83.7,6.7,3.1, 
현미푸레이크,100,394,85.33,6.8,2.79, 
콘푸로스트,100,387,88.4,4.7,0.4, 
콘푸로스트,100,378,88.05,5.11,0.59, 
과즙시리얼,30,116.4,26.73,1.59,0.33, 
꿀시리얼,30,115.8,27.48,1.35,0.06, 
쌀시리얼,100,379,86.6,6.8,0.6, 
쌀시리얼,100,390,86.99,6.65,1.68, 
아몬드시리얼,100,414,79.6,7.2,7.4, 
아몬드시리얼,100,426,78.18,7.3,9.29, 
코코넛시리얼,30,114.6,26.64,1.65,0.15, 
현미시리얼,100,390,83.7,6.7,3.1, 
현미시리얼,100,394,85.33,6.8,2.79, 
라이스크리스피,30,111,25.98,2.04,0.18, 
코코링,100,376,87.6,5.3,0.5, 
코코링,100,407,85.78,6.08,4.34, 
코코팝스,100,376,87.3,5.6,0.5, 
코코팝스,100,407,85.78,6.08,4.34, 
코코넛첵스,30,113.3,26.64,1.65,0.15, 
콘첵스,100,376,85.4,7.3,1.2, 
콘첵스,100,378,88.05,5.11,0.59, 
하니팝스,30,114.9,27.48,1.35,0.06, 
후르트링,30,114.6,26.73,1.59,0.33, 
현미,100,348,70.6,10,2.7, 
현미,100,164,34.3,4.1,1, 
"흑미,생것",100,375,74.9,8.8,3.1, 
"흑미,생것",100,312,75.31,7.59,2.31, 
"백미,생것",100,363,79.5,6.4,0.4, 
"백미,생것",100,345,79.5,6.4,0.4, 
"배아미,생것",100,354,75.3,6.5,2, 
"배아미,생것",100,357,75.8,6.5,2, 
"현미찹쌀,생것",100,316,75.7,7.3,2.8, 
"현미찹쌀,생것",100,361,75.7,7.3,2.8, 
"백미찹쌀,생것",100,373,81.9,7.4,0.4, 
"백미찹쌀,생것",100,359,81.9,7.4,0.4, 
현미밥,100,167,37.3,3.3,0.2, 
현미밥,100,145,37.3,3.3,0.2, 
밥,100,152,33.2,3,0.1, 
밥,100,145,33.2,3,0.1, 
백미즉석밥,100,147,33.4,2.8,0.2, 
백미즉석밥,100,144,33.59,2.11,0.28, 
누룽지,100,393,86.8,6.8,0.2, 
누룽지,100,374,86.8,6.8,0.2, 
찐쌀,100,373,83.7,5.2,0.1, 
찐쌀,100,354,83.7,5.2,0.1, 
현미미음,100,20,4.4,0.4,0.1, 
현미미음,100,20,4.4,0.4,0.1, 
미음,100,21,4.7,0.3,0, 
미음,100,21,4.7,0.3,0, 
수수경단,100,218,43.1,8.2,1.4, 
수수경단,100,218,43.1,8.2,1.4, 
"카스텔라,경단",100,240,51.1,4.1,1.8, 
"카스텔라,경단",100,237,51.1,4.1,1.8, 
가래떡,100,213,48.8,3.71,0.37, 
가래떡,100,217,47.5,3.8,0.3, 
흑미가래떡,100,209,47.8,3.5,0, 
흑미가래떡,100,205,47.8,3.5,0, 
개피떡,100,207,45.6,4.3,0.8, 
개피떡,100,207,45.6,4.3,0.8, 
쑥개피떡,100,208,45.2,4.5,0.8, 
쑥개피떡,100,206,45.2,4.5,0.8, 
꿀떡,100,215,47.4,3.3,0.4, 
꿀떡,100,210,46.14,3.09,1.46, 
백설기,100,234,51.9,3.5,0.8, 
백설기,100,228,52.5,3.6,0.4, 
콩송편,100,200,41.2,6.9,0.8, 
콩송편,100,200,41.2,6.9,0.8, 
깨송편,100,212,45.6,3.5,1.4, 
