id,name,serving_wt,kcal,carbo,protein,fat,company
21219,"가자미가공품,가자미살",30.0,20.1,0.12,4.56,0.15,한성기업
21220,"가자미가공품,가자미살",30.0,6.03,0.04,1.37,0.05,한성기업
21221,고등어통조림,30.0,63.6,0.09,6.36,4.2,한성기업
21222,고등어통조림,30.0,19.08,0.03,1.91,1.26,한성기업
21223,"꽁치통조림,꽁치",30.0,36.3,3.21,5.46,0.18,한성기업
21224,"꽁치통조림,꽁치",30.0,10.89,0.96,1.64,0.05,한성기업
21225,"통조림,고추참치",30.0,37.8,3.96,4.86,0.27,한성기업
21226,"통조림,고추참치",30.0,11.34,1.19,1.46,0.08,한성기업
21227,"통조림,바다참치",30.0,57.0,0.69,7.02,2.91,한성기업
21228,"통조림,바다참치",30.0,17.1,0.21,2.11,0.87,한성기업
21229,"통조림,살코기참치",30.0,54.9,0.39,7.11,2.76,한성기업
21230,"통조림,살코기참치",30.0,16.47,0.12,2.13,0.83,한성기업
21231,"통조림,야채참치",30.0,37.8,3.96,4.86,0.27,한성기업
21232,"통조림,야채참치",30.0,11.34,1.19,1.46,0.08,한성기업
21233,"통조림,꼬마참치까스",30.0,55.2,3.96,3.78,2.01,한성기업
21234,"통조림,꼬마참치까스",30.0,16.56,1.19,1.13,0.6,한성기업
21235,"통조림,고추참치",30.0,32.1,3.96,6.27,0.69,한성기업
21236,"통조림,고추참치",30.0,9.63,1.19,1.88,0.21,한성기업
21237,"통조림,살코기참치",30.0,72.3,3.96,5.31,5.67,한성기업
21238,"통조림,살코기참치",30.0,21.69,1.19,1.59,1.7,한성기업
21239,"통조림,야채참치",30.0,31.2,3.96,3.99,1.32,한성기업
21240,"통조림,야채참치",30.0,9.36,1.19,1.2,0.4,한성기업
21241,"대구가공품,빵가루입은통살대구",30.0,80.1,14.73,3.93,0.6,한성기업
21242,"대구가공품,빵가루입은통살대구",30.0,24.03,4.42,1.18,0.18,한성기업
21243,"대구가공품,빵가루입은통살대구",30.0,79.5,14.28,4.68,0.39,한성기업
21244,"대구가공품,빵가루입은통살대구",30.0,23.85,4.28,1.4,0.12,한성기업
21245,"대구가공품,네모대구살",30.0,20.4,0.15,4.68,0.12,한성기업
21246,"대구가공품,네모대구살",30.0,6.12,0.05,1.4,0.04,한성기업
21247,"대구가공품,대구살",30.0,20.7,0.24,4.74,0.09,한성기업
21248,"대구가공품,대구살",30.0,6.21,0.07,1.42,0.03,한성기업
21249,"대구가공품,대구미니",30.0,79.2,14.28,4.68,0.39,한성기업
21250,"대구가공품,대구미니",30.0,23.76,4.28,1.4,0.12,한성기업
21251,"대구가공품,대구후레쉬",30.0,80.1,14.73,3.93,0.6,한성기업
21252,"대구가공품,대구후레쉬",30.0,24.03,4.42,1.18,0.18,한성기업
21253,"대구가공품,전감용대구살",30.0,20.1,0.15,4.71,0.06,한성기업
21254,"대구가공품,전감용대구살",30.0,6.03,0.05,1.41,0.02,한성기업
21255,"대구젓,대구아가미젓갈",100.0,101.0,13.7,11.2,0.2,한성기업
21256,"대구젓,대구아가미젓갈",100.0,101.0,13.7,11.2,0.2,한성기업
21257,"액젓,멸치액젓",100.0,62.0,6.2,7.6,0.7,한성기업
21258,"액젓,멸치액젓",100.0,62.0,6.2,7.6,0.7,한성기업
21259,"액젓,순멸치액젓",100.0,53.0,0.7,11.3,0.5,한성기업
21260,"액젓,순멸치액젓",100.0,53.0,0.7,11.3,0.5,한성기업
21261,"명태가공품,빵가루입은통살명태",30.0,83.7,16.26,3.75,0.42,한성기업
21262,"명태가공품,빵가루입은통살명태",30.0,25.11,4.88,1.13,0.13,한성기업
21263,"명태가공품,빵가루입은통살명태미니",30.0,85.2,16.38,3.81,0.51,한성기업
21264,"명태가공품,빵가루입은통살명태미니",30.0,25.56,4.91,1.14,0.15,한성기업
21265,"명태가공품,전감용명태살",30.0,20.4,0.18,4.68,0.12,한성기업
21266,"명태가공품,전감용명태살",30.0,6.12,0.05,1.4,0.04,한성기업
21267,"명태가공품,네모명태살",30.0,23.1,0.45,4.95,0.18,한성기업
21268,"명태가공품,네모명태살",30.0,6.93,0.14,1.49,0.05,한성기업
21269,"명태가공품,명태살",30.0,21.3,0.09,4.89,0.15,한성기업
21270,"명태가공품,명태살",30.0,6.39,0.03,1.47,0.05,한성기업
21271,"명태가공품,명태미니",30.0,85.2,16.26,3.81,0.51,한성기업
21272,"명태가공품,명태미니",30.0,25.56,4.88,1.14,0.15,한성기업
21273,"명태가공품,명태후레쉬",30.0,83.7,16.38,3.75,0.42,한성기업
21274,"명태가공품,명태후레쉬",30.0,25.11,4.91,1.13,0.13,한성기업
21275,"명란젓,고추양념명란",100.0,116.0,8.2,12.9,3.2,한성기업
21276,"명란젓,고추양념명란",100.0,116.0,8.2,12.9,3.2,한성기업
21277,"명란젓,골드명란",100.0,118.0,9,19.5,0.4,한성기업
21278,"명란젓,골드명란",100.0,118.0,9,19.5,0.4,한성기업
21279,"명란젓,명란젓갈",100.0,119.0,9.5,19.4,0.4,한성기업
21280,"명란젓,명란젓갈",100.0,119.0,9.5,19.4,0.4,한성기업
21281,"명란젓,죽염명란",100.0,118.0,9.4,19.3,0.4,한성기업
21282,"명란젓,죽염명란",100.0,118.0,9.4,19.3,0.4,한성기업
21283,새우살,30.0,23.1,0.27,4.95,0.24,한성기업
21284,새우살,30.0,6.93,0.08,1.49,0.07,한성기업
21285,새우살,30.0,112.2,9,5.85,3.54,한성기업
21286,새우살,30.0,33.66,2.7,1.76,1.06,한성기업
21287,"새우살,깐새우살",30.0,14.7,5.85,3.48,0.09,한성기업
21288,"새우살,깐새우살",30.0,4.41,1.76,1.04,0.03,한성기업
21289,"새우까스,실속새우까스",30.0,57.3,9,3.81,0.69,한성기업
21290,"새우까스,실속새우까스",30.0,17.19,2.7,1.14,0.21,한성기업
21291,"청어알젓,청어알젓갈",100.0,99.0,12.8,11.2,0.3,한성기업
21292,"청어알젓,청어알젓갈",100.0,99.0,12.8,11.2,0.3,한성기업
21293,"까나리젓,까나리생젓",100.0,57.0,4.5,8.2,0.7,한성기업
21294,"까나리젓,까나리생젓",100.0,57.0,4.5,8.2,0.7,한성기업
21295,"생선까스,흰살생선까스",30.0,40.2,6.12,3.15,0.36,한성기업
21296,"생선까스,흰살생선까스",30.0,12.06,1.84,0.95,0.11,한성기업
21297,"오징어포,소프트오징어",30.0,96.0,0.75,20.25,1.32,한성기업
21298,"오징어포,소프트오징어",30.0,28.8,0.23,6.08,0.4,한성기업
21299,"오징어포,왕실오징어",30.0,82.5,6.75,13.08,0.36,한성기업
21300,"오징어포,왕실오징어",30.0,24.75,2.03,3.92,0.11,한성기업
21301,"오징어포,찢은오징어",30.0,95.4,0.81,20.13,1.29,한성기업
21302,"오징어포,찢은오징어",30.0,28.62,0.24,6.04,0.39,한성기업
21303,"오징어포,오징어숯불구이",30.0,56.7,2.64,11.22,0.15,한성기업
