,name,serving_wt,kcal,carbo,protein,fat,sugars,sodium,chol,saturated_fatty_acid,trans_fatty_acid,year,company
32,당근케이크가루,40,166,31.68,2.04,3.92,N/A,226.8,N/A,N/A,N/A,2011,
33,통밀가루,100,326,71.5,11.9,1.6,N/A,5,0,N/A,N/A,2011,
34,통밀가루,100,372,71.5,11.9,1.6,N/A,5,N/A,N/A,N/A,2017,
35,도우넛가루,100,412,73.9,8.5,6.8,N/A,778,N/A,N/A,N/A,2017,
36,도우넛가루,100,391,73.9,8.5,6.8,N/A,778,N/A,N/A,N/A,2011,
37,부침가루,100,382,72,20.6,1.3,N/A,0,N/A,N/A,N/A,2011,
38,부침가루,100,376,75.52,9.8,0.98,3.49,786,0,0.24,N/A,2017,
39,빵가루,100,400,77.04,11.95,2.05,4.74,306,0,0.76,N/A,2017,
40,빵가루,100,380,72.4,14.2,3.7,N/A,535,N/A,N/A,N/A,2011,
41,"밀가공(가루),튀김가루",100,328,76.8,7.3,1.5,N/A,962,N/A,N/A,N/A,2006,
42,"밀가공(가루),튀김가루",100,376,78.41,7.22,0.8,0,876,0,0.22,N/A,2017,
43,"밀가공(가루),팬케이크가루",100,402,75.9,7.9,4.9,N/A,735,N/A,N/A,N/A,2017,
44,"밀가공(가루),팬케이크가루",100,379,75.9,7.9,4.9,N/A,735,N/A,N/A,N/A,2011,
45,국수,100,374,78.4,10.6,0.2,N/A,2197,N/A,N/A,N/A,2011,
46,국수,100,374,74,10.31,1.3,6.42,1372,0,0.35,N/A,2017,
47,"국수,삶은것",100,124,24.3,4.6,0.4,N/A,N/A,N/A,N/A,N/A,2011,
48,"국수,삶은것",100,126,24.87,3.49,0.41,0,115,0,0.12,N/A,2017,
49,"소면,건면",100,358,76.1,8.9,0.3,N/A,1318,0,N/A,N/A,2011,
50,"소면,건면",100,378,74.86,10.36,1.27,1.93,1274,0,0.34,N/A,2017,
51,"소면,건면,삶은것",100,137,29,3.2,0.2,N/A,107,0,N/A,N/A,2011,
52,"소면,건면,삶은것",100,128,25.31,3.55,0.48,0,68,0,0.14,N/A,2017,
53,"라면,건면",100,445,71.2,7.5,13.9,N/A,506,0,N/A,N/A,2011,
54,"라면,건면",100,452,69.05,8.23,14.28,0,437,0,6.68,N/A,2017,
55,"라면,조리",100,103,18.5,2.2,2,N/A,388,0,N/A,N/A,2011,
