,name,serving_wt,kcal,carbo,protein,fat,sugars,sodium,chol,saturated_fatty_acid,trans_fatty_acid,year,company
8340,"빵,통밀자연그대로",70,122.5,22.4,3.5,1.75,2.8,189,3.5,1.05,0,2015,
8341,녹차롤케익,70,133,20.3,2.8,4.2,12.6,70,80.5,1.4,0,2015,
8342,롤케익,70,147,17.5,2.8,7,9.8,87.5,80.5,1.05,0,2015,
8343,명가명품녹차카스테라,50,70,14.5,1.5,1,12,12.5,37.5,0.5,0,2015,
8344,명가명품벌꿀카스테라,50,70,14.5,1.5,1,11.5,12.5,37.5,0.5,0,2015,
8345,명가명품초코카스테라,50,65,14.5,1.5,1,10.5,12.5,37.5,0.5,0,2015,
8346,잉글리쉬파운드케익,60,138,15.6,1.8,7.8,7.2,66,33,3.6,0,2015,
8347,호두파운드케익,60,150,13.8,2.4,10.2,6.6,51,33,3.6,0,2015,
8348,파인애플듬뿍패스츄리,100,233.59,34.08,3.34,9.32,3.27,152.03,0,3.51,0,2013,
8349,파티파티치즈케이크,70,210,23,5,11,14,100,105,7,0.6,2012,
8350,"빵,팥만주",66,240,42,7,7,19,110,30,1,0.24,2012,
8351,"케이크,포레도？무",70,260,24,5,17,16,130,110,7,0.15,2012,
8352,"빵,포켓샌드딸기요거티",80,212,22.4,3.2,12.8,5.6,200,28,8,0.4,2015,
8353,"빵,포켓샌드땅콩",70,192.5,22.4,3.5,10.5,4.9,182,16.8,5.6,0.35,2015,
8354,"빵,포켓샌드땅콩",70,227.35,33.5,3.59,8.38,3.77,311.11,0,1.08,0,2017,
8355,"빵,포켓샌드블루베리",84,172.2,29.4,3.36,5.88,10.92,243.6,10.92,3.36,0,2015,
8356,폭신폭신우유빵,100,273.93,47.61,8.84,5.35,1.4,492.68,0,2.82,0,2013,
8357,"케이크,푸를녹차쉬폰",70,140,14,2.1,8.4,7.7,84,49,2.1,0,2015,
8358,"케이크,푸를녹차쉬폰",70,200,20,3,12,11,120,70,3,0.26,2012,
8359,프렌치브리오쉬식빵,100,366.49,43.31,9.3,17.34,5.27,419.43,0,5.65,0,2013,
8360,프렌치브리오쉬식빵,48,74.4,9.6,1.92,3.36,1.92,91.2,24,1.68,0.24,2015,
8361,"케이크,프렌치초코앤치즈",70,225,25,4,16,12,110,110,9,0.15,2012,
8362,"빵,한입샌드(땅콩내용물)",80,275,32,5,15,7,260,24,8,0.24,2012,
8363,"빵,한입샌드(블루베리)",84,205,35,4,7,13,290,13,4,0.04,2012,
8364,"빵,한입쏙밤만주",60,81,18,1.8,0.84,9.6,15,27,0.36,0,2015,
8365,한입에두번반한단팥크림빵,70,140,23,4,4,7,230,15,1.5,0.09,2012,
8366,햄버거,59,94.4,14.75,2.95,2.36,1.77,135.7,8.85,1.18,0,2015,
8367,"케이크,행복을나누고싶은블루베리롤",55,90.75,11.55,1.65,4.95,7.15,55,46.75,0.55,0,2015,
8368,"카스테라,허니본델리슈",50,70,13.5,1.5,1.25,9,20,52.5,0.5,0,2015,
8369,"식빵,헬로키티헬로모닝",70,122.5,21,3.5,2.45,3.5,175,3.5,1.4,0,2015,
8370,호두를더한호밀식빵,70,119,20.3,3.5,2.45,2.1,189,3.5,1.05,0,2015,
8371,"파이,호두미니타르트",60,150,11.4,2.4,10.2,6.6,42,36,3.6,0,2015,
8372,"케이크,호두아몬드커플",65,270,21,4,21,13,95,65,8,0.29,2012,
8373,"케이크,호두아몬드파티",65,270,21,4,21,13,95,65,8,0.24,2012,
8374,호두파운드케익,60,138,15.6,1.8,7.8,7.2,66,33,3.6,0,2015,
8375,호두파이,65,280,28,5,17,11,95,75,5,0.28,2012,
8376,호두파이,65,169,14.95,3.25,11.05,4.55,55.25,45.5,3.25,0.32,2015,
8377,호밀식빵,70,119,20.3,3.5,2.45,2.1,189,3.5,1.05,0,2015,
8378,홈메이드호두케이크,60,235,19,3,17,11,105,90,6,0.43,2012,
8379,"빵,홍차만주",66,250,42,7,6,20,85,35,1,0.24,2012,
8380,케이크.화이트2단,60,250,20,2,18,14,100,70,8,0.22,2012,
8381,"빵,후레쉬슈",100,378.62,22.98,4.35,29.92,15.76,72.73,0,15.51,0,2013,
8382,후레쉬식빵,70,119,21,3.5,2.45,2.1,210,7,1.4,0,2015,
8383,후르츠롤케이크,70,112,9.1,2.8,7,5.6,45.5,70,3.5,0,2015,
8384,갈릭바게뜨,100,368.65,51.14,9.48,14.02,13.15,507.39,0,5.81,0,2013,
8385,건포도빵,100,320.01,46.71,7.81,11.32,8.21,370.33,0,0.75,0,2013,
8386,그레이프머핀,62,176.7,21.08,2.48,9.3,12.4,173.6,34.1,3.1,0,2015,
8387,까망베르치즈머핀,115,552,67.85,8.05,27.6,33.35,460,74.75,9.2,0,2015,
8388,녹차롤,70,171.5,30.8,4.2,3.5,10.5,80.5,70,1.75,0,2015,
8389,녹차카스테라,50,80,15.5,2,1,5.5,42.5,45,0.4,0,2015,
8390,"파이,달콤한타르트",73,211.7,24.82,3.65,10.95,5.84,67.89,22.63,4.38,0,2015,
8391,더치카카오머핀,115,540.5,71.3,9.2,24.15,32.2,402.5,74.75,9.2,0,2015,
8392,딸기소프트케익,65,152.75,22.1,3.25,5.85,11.05,71.5,22.75,1.43,0,2015,
8393,떡스폰지케익,74,192.4,25.9,3.7,8.14,13.32,192.4,51.8,2.96,0,2015,
8394,"빵,레드베리스콘",75,225,36,3,7.5,12,277.5,15,3.75,0,2015,
8395,"빵,메이플스콘",75,232.5,34.5,3.75,9,11.25,307.5,11.25,3.75,0,2015,
8396,"케이크,메이플애플파운드",70,220.5,23.1,3.5,12.6,14,119,31.5,4.9,0,2015,
8397,"케이크,메이플파운드",74,229.4,28.86,3.7,11.1,16.28,222,44.4,4.44,0,2015,
8398,모카롤,67,147.4,26.13,3.35,3.35,12.06,60.3,90.45,1.74,0,2015,
8399,모카스폰지케익,74,181.3,23.68,3.7,8.14,13.32,85.1,96.2,4.44,0,2015,
8400,모카초코칩머핀,62,182.9,21.7,3.1,9.3,12.4,155,31,3.72,0,2015,
8401,모카치즈케익,63,138.6,15.75,3.15,6.93,8.82,100.8,22.05,3.78,0,2015,
8402,미니만주,65,143,27.95,3.25,1.95,14.95,130,16.25,0.72,0,2015,
8403,미니쉬폰,60,141,19.8,3,5.4,5.4,156,66,2.88,0,2015,
8404,미니치즈케익,55,112.75,14.85,2.2,4.95,6.05,132,41.25,1.87,0,2015,
8405,미니호두파이,110,539,50.6,11,33,23.1,115.5,88,8.8,0,2015,
8406,바나나소프트케익,65,149.5,22.75,3.25,5.2,11.05,65,39,1.37,0,2015,
8407,바나나호두머핀,110,522.5,59.4,9.9,27.5,29.7,418,55,6.6,0,2015,
8408,보리카스테라,100,335,53,8,10,32,340,130,2.8,0,2015,
8409,부드러운우유식빵,90,216,37.8,8.1,3.51,16.2,369,0,1.98,0,2015,
8410,부드럽고촉촉한고구마케익,75,195,27.75,3.75,7.5,13.5,67.5,41.25,2.33,0,2015,
8411,부드럽고촉촉한모카케익,75,187.5,26.25,3.75,7.5,12.75,63.75,37.5,2.4,0,2015,
8412,부드럽고촉촉한초코케익,75,193.5,24.75,3.75,9,14.25,51,62.25,3.75,0.15,2015,
8413,부드럽고촉촉한치즈케익,75,198.75,27,3.75,8.25,13.5,67.5,37.5,2.78,0,2015,
8414,블루베리휘낭시에,30,37.5,4.13,0.38,2.25,2.63,16.88,0,0.71,0,2015,
8415,쁘띠컬렉션,60,159,17.4,2.4,9,10.2,108,42,0.6,0,2015,
8416,"빵,상큼!예산사과애플링",100,306.49,43.55,8.37,10.98,2.8,362.2,0,3.95,0,2013,
8417,스폰지케익,74,188.7,23.68,3.7,8.88,13.32,88.8,96.2,4.44,0,2015,
8418,식이섬유토스트식빵,90,220.5,39.6,8.1,3.51,1.8,351,0,2.16,0,2015,
8419,오리지날카스테라,50,77.5,14.5,2,1.15,9.5,45,40,0.4,0,2015,
8420,옥수수듬뿍옥수수식빵,100,299.4,50.81,9.64,6.4,7.96,314.13,0,2.86,0,2013,
8421,옥수수카스테라,100,340,54,8,10,30,160,110,2.5,0,2015,
8422,일곱가지곡물식빵,90,211.5,35.1,8.1,4.23,2.7,360,0,2.43,0,2015,
8423,자색고구마카스테라,50,75,14,2,1.35,8.5,42.5,37.5,0.35,0,2015,
8424,초코미니쉬폰,60,135,19.8,3,4.8,10.8,69,39,2.28,0,2015,
8425,초코베어,30,45,4.26,0.47,2.84,2.84,28.42,0,0.38,0,2015,
8426,초코소프트케익,65,159.25,20.15,3.9,7.15,10.4,71.5,22.75,2.34,0,2015,
8427,초코스콘,75,228.75,35.25,3,8.25,11.25,240,15,4.5,0,2015,
8428,초코스틱,30,40.5,4.2,0.6,2.4,1.2,21.9,1.5,0.81,0,2015,
8429,초코칩피칸쿠키,100,462.89,70.21,5.44,17.81,21.8,368.38,0,10.11,0,2013,
8430,초코휘낭시에,30,37.5,4.13,0.38,2.25,2.63,18.75,0,0.75,0,2015,
8431,촉촉한초코케익,62,151.9,19.84,3.1,6.82,13.64,117.8,71.3,2.79,0,2015,
8432,촉촉한케익,62,142.6,18.6,3.1,6.2,11.78,99.2,40.3,2.11,0,2015,
8433,"빵,크렌베리피칸",100,296.37,48.84,8.9,7.27,12.07,260.57,0,0.63,0,2013,
8434,"샌드위치,크로크무슈",100,350.41,26.77,11.79,21.8,2.98,502.03,0,7.31,0,2013,
8435,크림치즈머핀,65,191.75,19.5,3.25,11.05,11.7,169,42.25,4.55,0,2015,
8436,크림치즈파운드,71,209.45,23.43,3.55,11.36,12.07,234.3,53.25,5.68,0,2015,
8437,파운드,73,204.4,29.93,2.92,8.03,13.87,65.7,43.8,3.5,0,2015,
8438,프룬파운드,74,222,28.86,2.96,10.36,16.28,177.6,55.5,4.44,0,2015,
8439,프리미엄녹차카스테라,50,80,15.5,2,1,5.5,42.5,45,0.4,0,2015,
8440,프리미엄초콜릿케익,58,142.1,15.08,2.32,8.12,11.02,63.8,29,4.06,0,2015,
8441,프리미엄카스테라,50,77.5,14.5,2,1.15,9.5,45,40,0.4,0,2015,
8442,한겹한겹촉촉한밀크브레드,100,372.67,52.36,9.04,14.12,18.11,269.36,0,4.02,0,2013,
8443,"빵,햄야채모닝롤",100,353.87,45.1,9.97,14.84,4.18,443.48,0,9.98,0,2013,
8444,호두파이2호,66,168.3,25.08,3.3,5.94,1.98,92.4,36.3,2.38,0,2015,
8445,호박떡스폰지케익,74,192.4,22.94,3.7,9.62,5.92,207.2,62.9,3.55,0,2015,
8446,호박머핀,100,375,58,6,13,21,360,10,5,0,2015,
8447,호박쌀카스테라,100,350,48,8,14,34,180,250,6,0,2015,
8448,홍차휘낭시에,30,38.25,4.05,0.45,2.21,2.7,18,0,0.72,0,2015,
8449,휭거마드레느,30,38.08,4.15,0.6,2.08,1.38,38.08,16.62,0.76,0,2015,
8450,녹차쉬폰(M),65,104,11.7,1.3,5.85,8.45,45.5,32.5,2.21,0,2015,
8451,달콤옥수수크림샌드,60,81,15,1.8,3.42,3,126,0.6,1.86,0,2015,
8452,미니딸기샌드,65,113.75,18.2,2.6,3.51,3.25,149.5,1.3,1.82,0,2015,
8453,미니땅콩샌드,65,120.25,17.55,2.6,4.36,2.6,149.5,0.65,2.21,0,2015,
8454,젤리롤,70,122.5,20.3,2.8,3.5,11.9,31.5,115.5,0.42,0,2015,
8455,추억의단팥빵,80,193.6,39.2,5.6,1.6,4.8,96,8.8,0.88,0,2015,
8456,(특)롤케익,70,159.6,22.4,3.5,6.3,13.3,75.6,136.5,2.8,0,2015,
8457,가나슈생크림빵,80,216,28.8,4,9.6,9.6,67.2,21.6,5.6,0,2015,
8458,갈릭앤치즈브레드,100,352.21,36.87,10.38,18.13,4.49,516.79,0,8.37,0,2013,
8459,"빵,검은콩흑미이야기",70,119.7,21,4.2,2.1,2.8,177.8,8.4,0.7,0,2015,
8460,"빵,고구마데니쉬",74,167.24,25.16,2.22,6.66,7.4,53.28,11.1,2.96,0,2015,
8461,"케이크,고구마맛스폰지",70,168.7,19.6,2.8,9.1,12.6,72.8,48.3,4.9,0,2015,
8462,"케이크,고구마생크림",70,136.5,16.8,2.1,7,8.4,52.5,38.5,4.2,0,2015,
8463,"케이크,고구마생크림1호",70,125.3,14,1.4,7,7,43.4,42,4.2,0,2015,
8464,고구마생크림케익,70,136.5,16.8,2.1,7,8.4,52.5,38.5,4.2,0,2015,
8465,"케이크,고구마쉬폰",70,133.7,13.3,1.4,8.4,7.7,42,39.9,4.9,0,2015,
8466,"빵,고구마크림데니쉬",100,372.18,52.77,5.7,15.37,12.13,177.66,0,5.21,0,2013,
8467,고구마크림빵,73,139.43,23.36,2.92,3.65,8.03,40.88,17.52,2.19,0,2015,
8468,"빵,고소한고구마생크림",70,135.1,16.8,2.1,7,9.1,56,41.3,3.5,0,2015,
8469,곡물-롤케익(프레젠용),69,181.47,20.7,3.45,9.66,12.42,68.31,98.67,4.83,0,2015,
8470,"빵,과일생크림미니",70,124.6,14,1.4,7,9.8,50.4,28,4.9,0,2015,
8471,"빵,그루에",47,98.7,13.16,1.41,4.7,7.05,28.2,30.55,2.82,0,2015,
8472,그린콩생크림빵,70,172.9,21.7,2.8,8.4,9.8,129.5,9.8,4.2,0,2015,
8473,"도넛,글레이즈드사워크림",75,213.75,33.75,2.25,8.25,18.75,195,0,2.63,0,2015,
8474,"도넛,글레이즈드초콜릿케익",75,210,33.75,2.25,7.5,14.25,172.5,0,2.63,0,2015,
8475,"빵,까망베르치즈생크림",52,84.76,8.32,1.04,5.2,5.72,41.08,25.48,3.12,0,2015,
8476,"빵,녹차롤(미니)",40,59.6,6,0.8,3.6,3.6,22.4,23.6,2,0,2015,
8477,"빵,녹차롤(프레젠용)",62,142.6,14.88,2.48,8.68,8.68,53.32,57.04,4.34,0,2015,
8478,녹차생크림케익,58,99.76,9.86,1.74,5.8,6.38,22.62,33.64,3.48,0,2015,
8479,"케이크,녹차쉬폰",64,124.16,10.24,2.56,8.32,6.4,40.32,61.44,3.84,0,2015,
8480,"도넛,뉴욕치즈케익도넛",91,304.85,39.13,3.64,14.56,16.38,182,0,5.46,0,2015,
8481,"빵,다크아몬드링",50,89.5,12,2.5,4,2,136.5,0,1.75,0,2015,
8482,"도넛,더블초코칩크러핀",86,292.4,36.12,5.16,14.62,2.58,86,0,3.78,0,2015,
8483,"도넛,더블초콜릿아이스드",60,153,19.2,2.4,7.8,8.4,78,0,4.2,0,2015,
8484,데코레이션케익(초코)단2호,47,93.53,17.39,0.94,6.58,5.17,22.09,39.48,3.73,0,2015,
8485,데코레이션케익(초코)단7호,70,170.1,17.5,3.5,9.8,11.2,35.7,121.1,4.9,0,2015,
8486,데코레이션케익(화이트)단1호,47,90.71,6.58,0.94,6.58,4.7,22.09,42.3,3.29,0,2015,
8487,데코레이션케익(화이트)단2호,47,90.24,6.58,0.94,6.58,4.7,22.09,42.77,3.29,0,2015,
8488,데코레이션케익(화이트)단3호,49,97.02,7.35,0.98,6.86,4.9,23.52,47.53,3.43,0,2015,
8489,데코레이션케익(화이트)단4호,62,120.9,9.3,1.24,8.68,6.2,29.76,58.28,4.34,0,2015,
8490,데코레이션케익(화이트)단5호,47,90.24,6.58,0.94,6.58,4.7,22.09,42.3,3.29,0,2015,
8491,데코레이션케익(화이트)단7호,53,108.65,8.48,1.59,7.42,5.83,25.97,60.42,3.71,0,2015,
8492,"도넛,드림초코홀릭",60,168,16.2,1.8,10.8,6,72,0,5.4,0,2015,
8493,"빵,딸기롤",67,161.47,18.09,2.68,8.71,11.39,35.51,55.61,4.69,0,2015,
8494,"빵,딸기롤(미니)",39,54.6,6.24,0.78,3.12,3.9,12.09,18.72,1.56,0,2015,
8495,딸기맛도너츠,60,106.2,18.6,1.8,3,5.4,99.6,0,1.19,0,2015,
8496,땅콩빵,68,167.28,19.72,3.4,8.16,6.8,65.96,14.28,4.08,0,2015,
8497,러브米식빵,70,124.6,21,4.2,2.8,2.8,244.3,4.9,0.7,0,2015,
8498,롤케익(프레젠용),70,159.6,22.4,3.5,6.3,13.3,76.3,140.7,2.8,0,2015,
8499,롤케익1호,70,159.6,22.4,3.5,6.3,13.3,76.3,140.7,2.8,0,2015,
8500,롤케익2호,70,156.1,22.4,3.5,6.3,13.3,79.1,112.7,2.8,0,2015,
8501,"빵,마블링",50,93,13,2,4,2.75,94,0,2,0,2015,
8502,말랑말랑샌드위치(소),65,105.95,18.2,3.25,2.6,1.95,163.8,3.9,1.3,0,2015,
8503,말랑말랑샌드위치(통),70,123.9,21,3.5,2.8,2.1,190.4,4.2,1.4,0,2015,
8504,"빵,매실생크림",70,116.2,11.9,1.4,7,8.4,39.2,25.9,4.9,0,2015,
8505,머핀,51,93.33,14.28,1.02,3.57,7.14,48.45,12.75,1.53,0,2015,
8506,"케이크,메이플쉬폰",70,142.1,13.3,2.8,9.1,7.7,52.5,53.2,3.5,0,2015,
8507,모카레즌생크림빵,72,182.16,23.04,2.88,8.64,9.36,144.72,8.64,4.32,0,2015,
8508,"케이크,모카쉬폰",70,149.1,12.6,2.8,9.8,8.4,51.8,67.9,4.9,0,2015,
8509,"빵,모카슈생크림",60,111,10.8,1.8,7.2,6.6,32.4,54.6,4.2,0,2015,
8510,"케이크,모카스폰지",70,171.5,23.8,2.8,7.7,16.1,97.3,81.9,4.2,0,2015,
8511,모카크림빵,67,164.15,18.76,2.68,8.71,8.04,34.17,12.73,4.69,0,2015,
8512,"빵,모카플라워",57,125.97,12.54,1.71,7.98,9.12,55.86,27.93,3.99,0,2015,
8513,"빵,모카플라워",57,125.97,12.54,13.11,7.98,9.12,55.86,27.93,3.99,0,2015,
8514,미니롤케익,50,80,11.5,2,3,7,40.5,57.5,1.5,0,2015,
8515,미니약식파운드(프레젠용),70,151.9,21.7,2.8,6.3,11.9,189.7,51.1,1.4,0,2015,
8516,미니치즈파운드(프레젠용),57,124.83,13.11,2.28,7.41,6.27,112.86,37.62,3.99,0,2015,
8517,미니호두파운드(프레젠용),62,152.52,16.74,2.48,8.68,7.44,111.6,43.4,4.34,0,2015,
8518,"케이크,바나나생크림",60,95.4,9,1.2,6,6.6,18.6,41.4,3.6,0,2015,
8519,바삭바삭페스트리토스트,65,132.6,18.85,3.25,5.2,1.95,183.95,9.75,3.25,0,2015,
8520,밤빵,68,119,21.76,2.72,2.04,6.12,64.6,6.8,1.36,0,2015,
8521,"빵,버터스틱",76,214.32,28.12,4.56,9.12,6.84,342.76,48.64,4.56,0,2015,
8522,버터파인애플빵,63,144.27,15.75,1.89,8.19,6.3,98.91,10.08,4.41,0,2015,
8523,"케이크,베리메리생크림1호",70,136.5,18.9,2.1,6.3,13.3,62.3,35.7,3.5,0,2015,
8524,"케이크,베리요거트스푼",68,121.04,13.6,1.36,6.8,10.2,37.4,27.2,4.08,0,2015,
8525,"도넛,베이컨풀어파츠",82,209.1,24.6,9.84,8.2,2.46,336.2,0,4.1,0,2015,
8526,"빵,보스톤",60,122.4,21,2.4,3,6.6,110.4,0,3.17,0,2015,
8527,블루마운틴모카빵,73,163.52,29.2,3.65,3.65,10.22,195.64,18.25,1.46,0,2015,
8528,블루베리슬림케익,57,84.93,7.98,3.42,4.56,5.13,80.94,9.69,2.28,0,2015,
8529,"케이크,블루베리치즈쉬폰",62,99.82,9.92,1.86,5.58,6.2,44.02,47.12,2.48,0,2015,
8530,"케이크,블루베리치즈슬림",47,58.75,6.11,0.94,3.29,3.76,39.95,9.87,1.88,0,2015,
8531,"도넛,블루베리치즈케익도넛",77,238.7,23.87,3.85,13.86,10.01,107.8,0,6.93,0,2015,
8532,블루베리케익,60,106.8,10.8,1.2,6.6,7.8,38.4,6.6,4.2,0,2015,
8533,블루베리크림치즈머핀,100,411.64,44.22,6.01,23.42,15.9,173.66,0,10.16,0,2013,
8534,"빵,쁘디롤",74,180.56,26.64,3.7,6.66,16.28,77.7,152.44,2.96,0,2015,
8535,"빵,쁘띠녹차롤",62,142.6,14.88,2.48,8.68,8.68,53.32,57.04,4.34,0,2015,
8536,"빵,쁘띠딸기롤",63,145.53,15.75,1.89,8.19,10.08,32.13,47.25,4.41,0,2015,
8537,"빵,쁘띠러브초코",47,91.18,7.52,0.94,6.58,5.64,23.03,21.62,3.29,0,2015,
8538,"빵,쁘띠모카롤",59,135.7,14.16,1.77,7.67,10.03,24.19,77.29,4.13,0,2015,
8539,"빵,쁘띠초코롤",61,142.74,14.64,1.83,8.54,9.15,48.19,54.9,4.27,0,2015,
8540,쁘띠카스테라,70,140.7,26.6,3.5,2.8,18.2,30.1,97.3,0.7,0,2015,
8541,"케이크,새콤달콤베리스푼",80,153.6,18.4,1.6,8,13.6,54.4,27.2,5.6,0,2015,
8542,생크림슈,56,90.72,5.6,1.68,6.72,1.68,58.8,37.52,3.92,0,2015,
8543,"케이크,생크림페스티발",69,132.48,12.42,2.07,8.28,7.59,77.28,29.67,4.14,0,2015,
8544,샤르르녹는고구마케익,80,204.8,32.8,4,6.4,18.4,121.6,80,3.2,0,2015,
8545,샤르르녹는치즈번,70,160.3,25.9,2.8,4.9,9.8,203,17.5,1.05,0,2015,
8546,샤르르녹는치즈번,70,117.43,19.43,2.32,3.19,6.79,142.07,5.8,1.39,0,2017,
8547,샤르르르녹는치즈케익,82,226.32,30.34,4.1,10.66,18.04,85.28,78.72,4.92,0,2015,
8548,샤르망,70,133.7,15.4,1.4,7.7,10.5,57.4,33.6,4.9,0,2015,
8549,샤르망(블루베리),70,124.6,14.7,1.4,6.3,11.2,51.1,31.5,3.5,0,2015,
8550,소보로빵,73,175.93,29.93,3.65,5.11,10.95,183.96,16.79,2.19,0,2015,
8551,소세지빵,68,130.56,12.24,5.44,6.8,2.04,266.56,9.52,2.72,0,2015,
8552,"도넛,소시지풀어파츠",92,243.8,25.76,16.56,11.04,0.92,358.8,0,4.6,0,2015,
8553,소프트롤,84,227.64,30.24,5.88,9.24,6.72,292.32,31.08,4.2,0,2015,
8554,소프트생크림식빵,70,129.5,22.4,3.5,2.8,2.8,215.6,2.1,1.4,0,2015,
8555,"케이크,쇼코엘레강",50,97.5,9,1.5,6.5,6.5,23,30.5,3.5,0,2015,
8556,"도넛,슈거코티드",49,102.9,12.25,1.47,5.39,4.41,68.6,0,2.25,0,2015,
8557,스위트롤,68,133.96,23.12,3.4,3.4,8.16,163.88,14.28,1.36,0,2015,
8558,"케이크,스위트후르츠",70,131.6,16.8,1.4,6.3,11.9,54.6,32.2,4.2,0,2015,
8559,스콘,100,452.93,48.13,8.29,25.25,14.6,543.01,0,13.38,0,2013,
8560,스폰지,70,168,21.7,2.8,7.7,14.7,100.8,92.4,4.2,0,2015,
8561,아침보리,70,126,23.1,3.5,2.1,4.2,149.8,2.1,0.7,0,2015,
8562,애플시나몬머핀,100,387.22,44.06,5.05,21.2,17.9,137.13,0,10.31,0,2013,
8563,약식파운드,70,151.2,21.7,2.1,6.3,11.9,195.3,44.1,1.4,0,2015,
8564,어니언베이글,100,267.38,53.63,10.16,1.36,4.42,343.03,0,0.28,0,2013,
8565,엔젤케익,70,161.7,21,3.5,7,14,32.9,144.2,2.8,0,2015,
8566,"도넛,오리지널글레이즈드",52,104,11.44,1.04,5.72,2.6,78,0,1.82,0,2015,
8567,"도넛,오리지널크러핀",85,306,37.4,4.25,15.3,2.55,34,0,3.91,0,2015,
8568,요거트쉬폰,61,104.31,10.37,1.22,6.71,7.93,36.6,22.57,4.27,0,2015,
8569,우리콩롤,70,179.2,18.2,4.9,9.8,11.2,70.7,121.8,4.2,0,2015,
8570,자색고구마롤,70,172.2,18.9,2.8,9.8,11.9,84,126.7,4.9,0,2015,
8571,"식빵,전원속으로버터이야기",70,140,21.7,3.5,4.2,2.8,182.7,22.4,2.1,0,2015,
8572,"식빵,전원속으로옥수수이야기",70,132.3,21,3.5,3.5,2.1,181.3,8.4,2.1,0,2015,
8573,"식빵,전원속으로우유이야기",70,123.2,21,3.5,2.8,2.1,190.4,4.2,1.4,0,2015,
8574,"식빵,전원속으로잡곡이야기",70,126,21.7,4.2,2.8,2.8,180.6,10.5,1.4,0,2015,
8575,찰떡빵,86,192.64,40.42,3.44,2.58,14.62,202.96,14.62,0.86,0,2015,
8576,찰토스트,70,127.4,22.4,3.5,2.8,2.1,184.1,3.5,1.4,0,2015,
8577,"케이크,체리생크림",53,84.27,7.42,1.06,5.83,5.83,22.79,19.61,3.18,0,2015,
8578,"케이크,체리파크1호",70,114.8,15.4,1.4,5.6,10.5,56,32.9,3.5,0,2015,
8579,초코롤,62,146.94,15.5,2.48,8.68,9.3,49.6,57.04,4.34,0,2015,
8580,초코롤(미니),39,57.33,5.85,0.78,3.51,3.9,21.06,21.45,1.95,0,2015,
8581,초코쉬폰,70,154,14.7,2.8,9.1,10.5,114.8,38.5,4.2,0,2015,
8582,초코칩머핀,80,247.2,28,4,13.6,12,151.2,48.8,3.2,0,2015,
8583,초코칩머핀<특판용>,56,120.96,13.44,1.68,6.72,6.16,74.48,24.08,1.68,0,2015,
8584,"도넛,초콜릿아이스드커스터드필드",76,212.8,22.8,3.04,12.16,6.84,114,0,5.32,0,2015,
8585,초콜릿케익(화이트)1호,55,122.1,11.55,1.65,7.7,8.8,50.05,25.85,3.85,0,2015,
8586,초콜릿케익(화이트)3호,62,147.56,15.5,1.86,8.68,11.16,66.96,36.58,4.34,0,2015,
8587,초콜릿케익(화이트)5호,62,151.28,15.5,1.86,8.68,11.78,69.44,37.82,4.34,0,2015,
8588,초콜릿케익(화이트)단1호,58,128.18,13.92,1.74,8.12,9.28,27.84,42.34,4.06,0,2015,
8589,초콜릿케익(화이트)단2호,59,131.57,14.16,1.77,8.26,9.44,28.32,44.25,4.13,0,2015,
8590,초콜릿케익(화이트)단4호,54,112.86,10.8,1.62,7.56,7.56,25.38,34.02,3.78,0,2015,
8591,초콜릿케익(화이트)미니,51,109.14,10.2,1.02,7.14,7.65,41.31,20.4,3.57,0,2015,
8592,촉촉한치즈머핀,56,122.64,13.44,1.68,6.72,6.16,115.92,24.08,1.68,0,2015,
8593,쵸코가나쉬,50,100,9,1.5,6.5,6.5,23,28,3.5,0,2015,
8594,쵸코블러섬,55,114.95,11,1.65,7.15,7.7,26.95,36.3,3.85,0,2015,
8595,쵸코크림브레드,114,370.5,69.54,7.98,7.3,20.52,315.78,4.56,3.76,0,2015,
8596,쵸콜릿케이크(쵸코)2호,55,116.6,11.55,1.65,7.15,8.25,24.2,36.85,3.85,0,2015,
8597,쵸콜릿케이크(쵸코)미니,50,102,9.5,1.5,6.5,7,20,27.5,3.5,0,2015,
8598,치즈파운드1줄,57,124.83,13.11,2.28,7.41,6.27,112.86,37.62,3.99,0,2015,
8599,"도넛,치즈풀어파츠",110,121,62.7,12.1,5.5,1.1,422.4,0,2.2,0,2015,
8600,카라멜시나몬브레드,100,325.68,44.97,6.44,13.34,11.87,310.59,0,8.15,0,2013,
8601,카스타드크림빵,72,131.04,23.04,2.88,2.88,8.64,55.44,23.04,1.44,0,2015,
8602,카스테라(미니),72,159.12,27.36,3.6,4.32,18,91.44,114.48,0.72,0,2015,
8603,카페모카,55,117.7,12.1,1.65,7.15,8.25,54.45,26.95,3.85,0,2015,
8604,"도넛,카페헤이즐넛",74,247.9,25.16,2.96,15.54,8.88,118.4,0,6.66,0,2015,
8605,콩범벅페스트리,81,208.17,31.59,4.05,7.29,6.48,135.27,12.15,3.24,0,2015,
8606,콩크림치즈,93,283.65,39.06,6.51,12.09,13.02,234.36,26.97,5.58,0,2015,
8607,쿠키앤치즈,47,75.2,7.52,1.41,4.7,3.76,74.73,9.87,2.35,0,2015,
8608,크라운초코,47,92.59,7.99,0.94,6.58,6.11,40.89,18.33,3.29,0,2015,
8609,크로와상,56,120.4,12.32,1.68,7.28,2.24,120.4,7.84,3.36,0,2015,
